Job Result,Job Creation Time,Job Completion Times,Product Name,Cores,Storage (GB)
SUCCESS,8/1/2019 17:07,8/1/2019 18:25,Product 3,6,40
SUCCESS,8/1/2019 17:03,8/1/2019 18:14,Product 3,6,40
FAILURE,8/1/2019 15:26,8/1/2019 16:28,Product 3,6,40
FAILURE,7/31/2019 16:12,7/31/2019 16:23,Product 3,6,40
FAILURE,7/31/2019 15:54,7/31/2019 16:01,Product 3,6,40
FAILURE,7/31/2019 15:46,7/31/2019 15:53,Product 3,6,40
FAILURE,7/31/2019 14:09,7/31/2019 14:18,Product 3,6,40
FAILURE,7/31/2019 13:45,7/31/2019 13:48,Product 3,6,40
CANCELLED,7/30/2019 19:25,7/31/2019 2:32,Product 3,6,40
FAILURE,7/30/2019 11:35,7/30/2019 11:38,Product 2,16,960
SUCCESS,7/29/2019 14:05,7/29/2019 14:55,Product 5,14,960
SUCCESS,7/27/2019 10:55,7/27/2019 11:39,Product 5,14,960
FAILURE,7/26/2019 16:36,7/26/2019 17:18,Product 4,120,2400
CANCELLED,7/23/2019 12:55,7/23/2019 12:57,Product 5,14,960
SUCCESS,7/19/2019 17:21,7/19/2019 18:33,Product 3,6,40
SUCCESS,7/19/2019 17:01,7/19/2019 18:13,Product 3,6,40
SUCCESS,7/19/2019 1:36,7/19/2019 2:48,Product 3,6,40
SUCCESS,7/19/2019 1:33,7/19/2019 2:45,Product 3,6,40
FAILURE,7/18/2019 17:09,7/18/2019 17:31,Product 3,6,40
FAILURE,7/18/2019 17:08,7/18/2019 17:32,Product 3,6,40
SUCCESS,7/18/2019 14:55,7/18/2019 15:38,Product 5,14,960
SUCCESS,7/17/2019 13:23,7/17/2019 14:11,Product 5,14,960
SUCCESS,7/15/2019 14:59,7/15/2019 15:45,Product 5,14,960
SUCCESS,7/15/2019 11:45,7/15/2019 12:28,Product 2,16,960
SUCCESS,7/12/2019 16:22,7/12/2019 16:33,Product 1,120,19200
FAILURE,7/12/2019 15:48,7/12/2019 15:58,Product 1,120,19200
SUCCESS,7/12/2019 14:52,7/12/2019 16:06,Product 3,6,40
SUCCESS,7/12/2019 14:51,7/12/2019 16:02,Product 3,6,40
SUCCESS,7/12/2019 14:50,7/12/2019 16:05,Product 3,6,40
